SurveyName,Surveyyear,Season,ID,Intid,Strat,Stratname,Selected,Counted,UnitID,GMU,U17A,U17TNWR,U18GNS,U18KANAROL,U18TNWR,AreaMi,centrlat,centrlon,adult,calf,unknown,datecounted,searchmin,comments,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16000,483,H,HIGH,0,0,5926-16000,17A,1,1,0,0,0,6.777,59.4500,-160.0417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-15955,484,H,HIGH,1,1,5926-15955,17A,1,1,0,0,0,6.777,59.4500,-159.9583,9,0,0,3/13/17,36,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-15940,487,H,HIGH,0,0,5926-15940,17A,1,1,0,0,0,6.777,59.4500,-159.7083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-16055,503,H,HIGH,0,0,5924-16055,18,0,0,1,0,1,6.784,59.4167,-160.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-16020,510,H,HIGH,0,0,5924-16020,17A,1,1,0,0,0,6.784,59.4167,-160.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-16015,511,H,HIGH,1,1,5924-16015,17A,1,1,0,0,0,6.784,59.4167,-160.2917,0,0,0,3/14/17,14,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-16010,512,H,HIGH,0,0,5924-16010,17A,1,1,0,0,0,6.784,59.4167,-160.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-15955,515,H,HIGH,0,0,5924-15955,17A,1,1,0,0,0,6.784,59.4167,-159.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-15950,516,H,HIGH,1,1,5924-15950,17A,1,1,0,0,0,6.784,59.4167,-159.8750,0,0,0,3/13/17,23,,,,
TOGIAK NWR MAR 2017,2017,spring,5924-15945,517,H,HIGH,1,1,5924-15945,17A,1,1,0,0,0,6.784,59.4167,-159.7917,27,4,0,3/13/17,34,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-16055,537,H,HIGH,0,0,5922-16055,18,0,0,1,0,1,6.791,59.3833,-160.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-16050,538,H,HIGH,0,0,5922-16050,18,0,0,1,0,1,6.791,59.3833,-160.8750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-16010,546,H,HIGH,0,0,5922-16010,17A,1,1,0,0,0,6.791,59.3833,-160.2083,0,0,0,,,,,,
